-aik,dollar
atnaqnei,checker_board
atnaqnte'maq,checkered
atnaqn_wi'kasit,checkered
atnat,play_checkers
atoqwa'su,trout
atoqwa'sue'ket,fish_for_trout
atpi'sewatl,change_diaper
atsa,
attikna'sik,work_hard
attikna'sit,work_hard
atua'skiko'qwet,animal_floating_on_its_back
atuaskwa'ski'kwe'k,swim_on_back
atuaskwesink,lie_on_back
atua'skwetesink,fall_backwards
a'tukwaqn,story
a'tukwet,tell_story
a'tukwewatl,tell_story_to
a'tukwewinu,storyteller
atuomk,sand
atuomkomin,strawberry
atupikej,Brook_Village_N.S
atu'tuej,squirrel
atu'tuejui'sit,imitate_the_sounds_of_a_squirrel
awaluktesk,form_clouds
awana'qiet,incapable
awaneiwatl,awkward_in_handling
awane'jit,awkward_one
awane'k,awkward
awani-,untrained
awani'kwe'k,swims poorly
awanitpluteket,judgement
awaniwsket,fishes_poorly
awankiljet,read_poorly
awanlukwet,unskilled_worker
awanmila'sit,plays_poorly
awano'tk,operate_poorly
awanta'sit,forget
awanta'sualatl,forget_about
awanta'suatk,forget_about
awaqan,trail
awa'qi'kn,crooked_knife
awepiska'taqn,pen
awialusink,encircled_with_halo
awialusk,halo
awije'jit,scarce
awije'jk,scarce
awipk,sea
awisiaq,scarce
awisiw,seldom
awisku'k,spy
awnaqa,instead
awnasiey,crazy
awnasitutk,excited
awnaskat,excited about
awni' skwatwepisit,head covered
awni'skwekwa'tu'n,cover it up
awni'skwepilk,cover it up
awni'skwesma'si,lie down
awo'kwejit,spider
awo'kwejitua'pi,spider_web
awsami-,too much
awsam-pa'q,tide is very high
awti,road
awti'j,path
awtiket,make_road
awtit,on_salary
ayij,lost for_right_word
ejaqjepit,squat
ejaqjeteskm,knock it down
ejaqnjepit,abut
ejaqnjetek,abut
ejaqn'jeteskmat,wear_out_shoe(s)_on_one_side
ejaqnjetestay,trip
ejaqnteskm,kick it down
ejela'latl,have_no_control
ejela'sit,helpless
ejela'toq,in_no_position_to_change
ejeleyi,helpless
ejelita'sit,depressed
ejikla'ko'jink,head_turned_away
ejikla'latl,take_away
ejiklamukwiet,fade_away
ejiklapuek,erosion
ejikla'sit,go_away
ejiklateja'sit,scoot
ejikla'toq,take_away
ejikleket,throw_away
ejikliksma'latl,push_away
ejikliksmaqalatl,shove_away
ejikliksma'toq,push_away
ejikli'kwe'k,swim_away
ejikliwsit,move_away
ejiklsink,flown_away
ejiklta'tl,strike_or_drive_away
ejiklte'k,drive_it_away
ejiklu'jink,bent_(at_waist)_away
ejikwesimk,blinded by the light
ejipewe'k,easterly_breeze
ejkeljik,unripe
ejkeljultikl,ripe
ejkujk,squash
ejkwe'mat,sob
e'jnt,indian_agent
ejoqjematl,interrupt_(in_conversation)
-ek,at
e'k,corner
ekatapisisa'si,garter
ekatepisi,garter
ekel,occasionally
ekiljet,read
ekimatl,count
ekina'matino'kuo'mk,school
ekina'muey,teach
ekina'si,dress myself
ekitk,recite
ekntie'wit,observe_Sunday
eksɨpukua'latl,lie_to
eksitpu'k,morning
eksitpu'kowei,breakfast
eksitpu'kwatalmkewei,item_for_breakfast
eksitpu'kwewulkw,"morning_train,_boat,_etc."
eksitpukwiet,early riser
eksitpu'nuk,tomorrow_morning
eksuet,lie
eksuo'qon,lie
ekulami,dying
ekulamit,breathe your last
ekuma'toq,anchor
ekumik,anchored
ekumit,anchored
ekwija'latl,immerse
ekwija'toq,immerse
ekwijatpa'latl,dip_the_head_into_the_water_(or liquid)
ekwitamet,fish
ekwitkewey,chocolate
ela'kipulatl,to_cut_with_a_saw
ela'kittoq,cut_with_a_saw
ela'kwi'teket,
ela'kwitɨk,
ela'kwi'tmuatl,
ela'latl,take_or_bring_toward
elalqek,tunnel
elamko'lajik,pile
elamko'toql,piles_things
ela'muet,ladle_out
ela'muet,waiter
elanku'sit,go_somewhere_to_peddle
elanqate'k,beat_(ash)_into_strips
elanqayejit,stomach_wall_of_a_cow
elanqiaq,wrinkled
elapalatl,splash_with_holywater
elapaqama'taq,romancing
elapaqta'tl,splash
elapaqte'k,splash_water_on
elapaqtesmatl,casts_a_line (as in fishing)
elapaqtesteket,cast_(fishing_line)
elapaqtestu,underline
elapaqto'sit,splash_oneself
elapatoq,bless_using_holywater
elapejin,scratches self
elapesawet,split up splints
elapesawey,strip up splits
elapetesink,glance_at
elapit,looking_towards
elapte'k,walk_toward_with_a_cane
elaptoq,make_tracks_toward
elapukuet,vote_for
ela'q,swim_toward
elaqalatl,hurl
elaqalsewatl,play_a_gambling_game_for
elaqatm,lots
elaqpilatl,hang_a_cloth_to_cover
elaqpilk,shield_or_conceal_(with_drape)
elaqpisa'si,apron
elaqpisuti,apron
elaqpit,spread_out_(bedsheet)
elaqpo'latl,bind
elaqpo'teket,bind
elaqpo'toq,bind
elaqsɨk,fly_toward
elaqsink,fly_toward
elaqtek,spread_out_(blanket)
elaqtoq,fling
elaska'latl,point_it_towards
elaska'toq,point_towards
elaskɨte'k,split_up_(as_kindling)
elasknatl,hand_over_(bottle)
elasknk,hand_over
elasmu'ket,lying down
elasukwet,wade_in_water_towards
elasumteket,wade_through_the_snow_towards
elat,bear_family_resemblance
elateja'sit,scoot_over
elatejimatl,drag_toward
elatejitoq,drag_over
elatijik,
ela'toq,take_toward
elatpo'jink,lean_head_toward
elatqek,dense_(as_thicket)
e'lawiaq,egg rotten
elawlet,lug_or_carry_toward_(on_back)
eleka'latl,spread_out
elekepilawet,to_drape
eleket,throw
eleketoq,raffle_(off)
eleke'wi'skw,queen
eleke'wi'skwe'j,princess
eleke'wit,king
Eleke'witewatp,crown
eleko'latl,lay_out_(rug)
eleko'toq,lay_out
elekua'q,grain of wood
elenqwe'set,rush_over
eletqek,grove
eletqo'latl,coil
eletqo'toq,coil
elewistumk,banns
eli-,going towards
eliaq,goes
eliatl,make
eliet,goes
elikasuti,fortress
elikjepilawet,make_bottom_part_(of_basket)
elikjipilk,weave_bottom_(of_basket)
elikjo'kmuatl,bent_over_towards
eli-kltaqnik,lead
elikpete'ket,make_basket_splints
elikua'laq,liquid_dripping_down_from_an_opening
elikua'lat,dripping_down_from
elikuaq,have_grain_(as_of_wood)
elikuet,have_grain
elikuet,lean_toward
elikwalatl,scoop_it_towards
elikwatk,push_it_toward
elɨmpa'q,flood tide
eli'pi,scoot over
eli'pit,rush_toward
elipqama'toq,roll
elipqamu'latl,roll
elipqamu'toq,slide
eli'pukwet,stagger_toward
eliputoq,rub_toward
eli'satl,sew
eli'sawet,sew
eli'sewatl,sew_for
eli'sɨk,sew
eliska'tu,mortise
elisknualatl,braid
elisknuaqn,knitting
elisknuatk,braid
elisknuet,knit
elisma'si,lie down
elisqanapeka'toq,cast_on_in_knitting
elistɨk,disobey
elistuatl,disobey
elisukwit,paddle_toward
elita'sit,depend_on
elita'sualatl,depend_on
elita'suatk,depend_on
elita'suatmikl,depend
elɨtqek,coiled
elɨtqet,coiled
eli'tuat,have_a_beard
eljaqatl,spread
eljaqawen,plaster
eljaqq,spread
elkeniket,fertilize
elkesawet,plow_up
elkesk,till
elkete'ket,hoe
elkɨk,cause_soreness_from_sitting_too_long
elkimatl,send_someone
elkimk,send him
elkimskwet,tiptoe_over
elkitk,send_forth
elko'jink,face_toward
elkomiktuatl,call_out_(for_assistance)
elkusuet,to_climb
elkuta'latl,pour_on
elkuta'tat,pour_a_drink_for_self
elkuta'toq,pour_on
elmakimk,send him home
elma'latl,take_home
elmalqei,hole
elmalqe'ji'j,small_hole
elmalukiaq,cloud
elmateja'latl,convey_onward
elmateja'sit,hurry_onward
elmateja'toq,driving_onward
elma'toq,take_onward
elma'ulalatl,carry_home
elmawlatk,carry_home_on_back_or_shoulder(s)
elmawley,carry a load home on my back
elmejepit,sit_facing_the_other_direction
elmejetek,set_faceing_the_other_direction
elmi-,homeward
elmiaq,goes_home
elmiaq,eventually
elmiet,goes_home
elmijajijike'k,shore
elmikespia'q,since time immemorial
elmikiaq,falling_of_the_tide
elmikimatl,send_home
elmi-kiskik,day
elmikitk,send_home
elmikjepit,sits_backwards
elmikjesink,lie_facing_away
elmikjetek,it_sits_backwards
elmikjo'kwet,stooped_over_facing_away
elmikjuiwikasik,written backwards
elmi'knik,future
elminikanipiqa'sit,go_ahead_down_in_the_water
elmi'pi,scoot home
elmipisakkaniet,bubble_along
elmipiskwa't,in_process_of_entering
elmipkowe'k,along_edge_of_cliff
elmitk,flow_away
elmitpa'q,night
elmi-wtaqamu'k,mainland
elm'joqtek,spread_of_food
elmlamit,gasp
elmlɨka't,walk_onward
elmnqwe'set,go_home_quickly
elmoqtesink,stagger_onward
elmoqwe'set,scoot_home
elm'teskuatl,chase_onward
elmu'jink,bent_towards_something_but_away_from_speaker
elmukiaq,tide is going out
elmulkwalatl,follow_onward
elmulkwatk,follow_onward
elmuse'k,cave
elnane'k,bottom
elne'ju,birchen
elneka't,eel
elnɨkalatl,carry_or_pack_on_shoulder_toward
elnɨkatk,carry_or_pack_on_shoulder_toward
elnɨket,carry_to_on_shoulder
elnma'latl,stick_(needle)_into
elnma'sɨk,stick_into
